"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"1011",6.95,7.67,6.88,7.61,22660000,7.492127,2018-09-17,"USIM5.SA",0.0871427667633644,0.0871428571428572
"1012",7.66,8.04,7.64,8,28320200,7.876086,2018-09-18,"USIM5.SA",0.0512483304140465,0.0512483574244416
"1013",7.86,8.52,7.77,8.35,38531800,8.220666,2018-09-19,"USIM5.SA",0.0437501571211893,0.04375
"1014",8.5,8.55,8.05,8.05,25001100,7.925312,2018-09-20,"USIM5.SA",-0.0359282325787229,-0.0359281437125747
"1015",8.16,8.53,8.14,8.48,24671300,8.348651,2018-09-21,"USIM5.SA",0.0534160674052959,0.0534161490683229
"1016",8.44,8.65,8.18,8.29,17656200,8.161594,2018-09-24,"USIM5.SA",-0.0224056557161152,-0.0224056603773587
"1017",8.1,8.51,8.05,8.4,16507400,8.269891,2018-09-25,"USIM5.SA",0.0132690991490143,0.0132689987937276
"1018",8.49,8.57,8.28,8.41,11823200,8.279736,2018-09-26,"USIM5.SA",0.00119046309074688,0.00119047619047619
"1019",8.41,8.52,8.3,8.43,9661900,8.299426,2018-09-27,"USIM5.SA",0.00237809514699516,0.00237812128418535
"1020",8.32,8.53,8.27,8.32,10377000,8.19113,2018-09-28,"USIM5.SA",-0.013048613241446,-0.0130486358244365
"1021",8.38,8.38,7.93,8.02,14871900,7.895777,2018-10-01,"USIM5.SA",-0.0360576623738116,-0.0360576923076924
"1022",8.25,8.55,8.23,8.5,16555900,8.368341,2018-10-02,"USIM5.SA",0.0598502212005227,0.059850374064838
"1023",9.1,9.21,8.72,8.88,27957400,8.742455,2018-10-03,"USIM5.SA",0.0447058741989601,0.0447058823529414
"1024",8.74,9.13,8.65,9.08,15709300,8.939358,2018-10-04,"USIM5.SA",0.0225226209342799,0.0225225225225225
"1025",9.16,9.19,8.87,9.02,14359500,8.880288,2018-10-05,"USIM5.SA",-0.00660785707430001,-0.00660792951541855
"1026",9.5,10.04,9.49,10,36177200,9.845108,2018-10-08,"USIM5.SA",0.108647377202181,0.108647450110865
"1027",9.98,10.13,9.83,10.01,19840700,9.854953,2018-10-09,"USIM5.SA",0.000999989030084913,0.00099999999999989
"1028",9.9,9.95,9.27,9.27,26420300,9.126416,2018-10-10,"USIM5.SA",-0.0739259740761827,-0.073926073926074
