"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"518",4.77,4.9,4.69,4.7,18400,4.7,2018-09-10,"VVAR3.SA",-0.0146750524109014,-0.0146750524109014
"519",4.69,4.69,4.5,4.52,19900,4.52,2018-09-11,"VVAR3.SA",-0.0382978723404257,-0.0382978723404257
"520",4.69,4.86,4.29,4.52,57100,4.52,2018-09-12,"VVAR3.SA",0,0
"521",5,5.2,4.7,5.1,246100,5.1,2018-09-13,"VVAR3.SA",0.128318584070797,0.128318584070797
"522",5.2,5.7,4.94,4.96,383400,4.96,2018-09-14,"VVAR3.SA",-0.0274509803921568,-0.0274509803921568
"523",4.99,5.39,4.9,5.39,134300,5.39,2018-09-17,"VVAR3.SA",0.0866935483870968,0.0866935483870968
"524",5.45,5.89,5.45,5.89,218400,5.89,2018-09-18,"VVAR3.SA",0.0927643784786643,0.0927643784786643
"525",5.9,5.9,5.33,5.35,333900,5.35,2018-09-19,"VVAR3.SA",-0.0916808149405772,-0.0916808149405772
"526",5.48,5.61,5.22,5.4,140000,5.4,2018-09-20,"VVAR3.SA",0.00934579439252348,0.00934579439252348
"527",5.59,5.6,5.4,5.5,115400,5.5,2018-09-21,"VVAR3.SA",0.0185185185185184,0.0185185185185184
"528",5.6,5.6,5.3,5.5,52100,5.5,2018-09-24,"VVAR3.SA",0,0
"529",5.44,5.54,5.3,5.54,42300,5.54,2018-09-25,"VVAR3.SA",0.00727272727272732,0.00727272727272732
"530",5.53,5.6,5.48,5.5,23300,5.5,2018-09-26,"VVAR3.SA",-0.00722021660649819,-0.00722021660649819
"531",5.48,5.7,5.48,5.57,49000,5.57,2018-09-27,"VVAR3.SA",0.0127272727272727,0.0127272727272727
"532",5.48,5.48,5.05,5.06,150200,5.06,2018-09-28,"VVAR3.SA",-0.0915619389587075,-0.0915619389587075
"533",5.15,5.15,4.26,4.28,450500,4.28,2018-10-01,"VVAR3.SA",-0.154150197628458,-0.154150197628458
"534",4.57,4.58,4.37,4.44,160900,4.44,2018-10-02,"VVAR3.SA",0.0373831775700935,0.0373831775700935
"535",4.63,4.79,4.51,4.78,149300,4.78,2018-10-03,"VVAR3.SA",0.0765765765765765,0.0765765765765765
"536",4.6,4.78,4.44,4.73,110700,4.73,2018-10-04,"VVAR3.SA",-0.0104602510460251,-0.0104602510460251
"537",4.75,4.78,4.49,4.67,83000,4.67,2018-10-05,"VVAR3.SA",-0.0126849894291756,-0.0126849894291756
"538",4.78,5.19,4.78,4.96,165300,4.96,2018-10-08,"VVAR3.SA",0.0620985010706638,0.0620985010706638
"539",5.02,5.28,4.87,5.08,139400,5.08,2018-10-09,"VVAR3.SA",0.0241935483870968,0.0241935483870968
"540",5.08,5.08,4.76,4.81,70600,4.81,2018-10-10,"VVAR3.SA",-0.0531496062992127,-0.0531496062992127
"541",4.96,5.01,4.68,4.75,93200,4.75,2018-10-11,"VVAR3.SA",-0.0124740124740124,-0.0124740124740124
"542",4.9,4.96,4.65,4.74,63200,4.74,2018-10-15,"VVAR3.SA",-0.00210526315789472,-0.00210526315789472
"543",4.87,4.88,4.7,4.79,53800,4.79,2018-10-16,"VVAR3.SA",0.010548523206751,0.010548523206751
"544",4.75,4.81,4.65,4.71,113500,4.71,2018-10-17,"VVAR3.SA",-0.0167014613778705,-0.0167014613778705
"545",4.72,4.73,4.49,4.5,184600,4.5,2018-10-18,"VVAR3.SA",-0.0445859872611465,-0.0445859872611465
"546",4.68,4.68,4.46,4.54,156200,4.54,2018-10-19,"VVAR3.SA",0.00888888888888895,0.00888888888888895
"547",4.6,4.9,4.56,4.84,221500,4.84,2018-10-22,"VVAR3.SA",0.0660792951541851,0.0660792951541851
"548",4.82,5.35,4.73,5.35,313300,5.35,2018-10-23,"VVAR3.SA",0.105371900826446,0.105371900826446
"549",5.5,5.58,5,5,278400,5,2018-10-24,"VVAR3.SA",-0.0654205607476634,-0.0654205607476634
"550",5.1,5.46,4.86,5.3,280400,5.3,2018-10-25,"VVAR3.SA",0.0600000000000001,0.0600000000000001
"551",5.34,5.47,5.11,5.38,172700,5.38,2018-10-26,"VVAR3.SA",0.0150943396226415,0.0150943396226415
"552",5.37,5.52,5.25,5.35,251200,5.35,2018-10-29,"VVAR3.SA",-0.00557620817843874,-0.00557620817843874
"553",5.35,5.68,5.33,5.63,245500,5.63,2018-10-30,"VVAR3.SA",0.0523364485981308,0.0523364485981308
"554",5.68,5.8,5.54,5.6,125900,5.6,2018-10-31,"VVAR3.SA",-0.00532859680284192,-0.00532859680284192
"555",5.61,5.7,5.45,5.55,107600,5.55,2018-11-01,"VVAR3.SA",-0.0089285714285714,-0.0089285714285714
"556",5.56,5.68,5.5,5.62,53100,5.62,2018-11-05,"VVAR3.SA",0.0126126126126127,0.0126126126126127
"557",5.65,5.66,5.41,5.48,77100,5.48,2018-11-06,"VVAR3.SA",-0.0249110320284697,-0.0249110320284697
"558",5.49,5.55,5.2,5.24,111400,5.24,2018-11-07,"VVAR3.SA",-0.0437956204379563,-0.0437956204379563
"559",5.31,5.4,5.06,5.14,115600,5.14,2018-11-08,"VVAR3.SA",-0.0190839694656489,-0.0190839694656489
"560",5.1,5.35,5.1,5.31,123200,5.31,2018-11-09,"VVAR3.SA",0.0330739299610894,0.0330739299610894
"561",5.4,5.52,5.38,5.38,122500,5.38,2018-11-12,"VVAR3.SA",0.0131826741996235,0.0131826741996235
"562",5.45,5.48,5.34,5.4,85800,5.4,2018-11-13,"VVAR3.SA",0.00371747211895923,0.00371747211895923
"563",5.45,5.45,5.28,5.33,87600,5.33,2018-11-14,"VVAR3.SA",-0.0129629629629631,-0.0129629629629631
"564",5.38,5.39,5.13,5.27,190200,5.27,2018-11-16,"VVAR3.SA",-0.0112570356472796,-0.0112570356472796
"565",5.3,5.31,5.11,5.16,118400,5.16,2018-11-19,"VVAR3.SA",-0.0208728652751422,-0.0208728652751422
"566",5.18,5.18,4.99,5.08,118800,5.08,2018-11-21,"VVAR3.SA",-0.0155038759689923,-0.0155038759689923
"567",5.05,5.06,4.9,4.92,171100,4.92,2018-11-22,"VVAR3.SA",-0.031496062992126,-0.031496062992126
"568",5.05,5.1,4.86,4.95,196800,4.95,2018-11-23,"VVAR3.SA",0.00609756097560976,0.00609756097560976
"569",5.15,5.3,4.89,4.95,7851400,4.95,2018-11-26,"VVAR3.SA",0,0
"570",5.05,5.09,4.76,4.95,7968200,4.95,2018-11-27,"VVAR3.SA",0,0
"571",5,5.03,4.88,4.95,5174600,4.95,2018-11-28,"VVAR3.SA",0,0
"572",4.91,5.11,4.91,5.04,7877100,5.04,2018-11-29,"VVAR3.SA",0.0181818181818181,0.0181818181818181
"573",5.06,5.18,5.05,5.18,6006800,5.18,2018-11-30,"VVAR3.SA",0.0277777777777777,0.0277777777777777
"574",5.21,5.29,5.1,5.12,7985300,5.12,2018-12-03,"VVAR3.SA",-0.0115830115830116,-0.0115830115830116
"575",5.18,5.24,5.09,5.15,6400000,5.15,2018-12-04,"VVAR3.SA",0.005859375,0.005859375
"576",5.18,5.24,5.15,5.2,5408800,5.2,2018-12-05,"VVAR3.SA",0.00970873786407767,0.00970873786407767
"577",5.15,5.2,5.1,5.18,2767500,5.18,2018-12-06,"VVAR3.SA",-0.00384615384615394,-0.00384615384615394
"578",5.19,5.22,4.99,5.04,6539300,5.04,2018-12-07,"VVAR3.SA",-0.027027027027027,-0.027027027027027
"579",5.07,5.11,4.85,4.87,4881800,4.87,2018-12-10,"VVAR3.SA",-0.0337301587301587,-0.0337301587301587
"580",4.96,5.05,4.83,4.95,4012900,4.95,2018-12-11,"VVAR3.SA",0.0164271047227926,0.0164271047227926
"581",4.99,5.02,4.76,4.78,9748000,4.78,2018-12-12,"VVAR3.SA",-0.0343434343434343,-0.0343434343434343
"582",4.85,4.85,4.6,4.7,12774000,4.7,2018-12-13,"VVAR3.SA",-0.0167364016736402,-0.0167364016736402
"583",4.65,4.69,4.33,4.35,13033700,4.35,2018-12-14,"VVAR3.SA",-0.0744680851063831,-0.0744680851063831
"584",4.38,4.48,4.31,4.36,6825100,4.36,2018-12-17,"VVAR3.SA",0.0022988505747128,0.0022988505747128
"585",4.39,4.66,4.35,4.58,10705800,4.58,2018-12-18,"VVAR3.SA",0.0504587155963303,0.0504587155963303
"586",4.66,4.78,4.62,4.66,12207900,4.66,2018-12-19,"VVAR3.SA",0.017467248908297,0.017467248908297
"587",4.7,4.8,4.48,4.58,9192300,4.58,2018-12-20,"VVAR3.SA",-0.0171673819742489,-0.0171673819742489
"588",4.62,4.64,4.52,4.56,3657000,4.56,2018-12-21,"VVAR3.SA",-0.00436681222707436,-0.00436681222707436
"589",4.22,4.46,4.14,4.3,11660000,4.3,2018-12-26,"VVAR3.SA",-0.0570175438596491,-0.0570175438596491
"590",4.31,4.45,4.26,4.32,61986400,4.32,2018-12-27,"VVAR3.SA",0.00465116279069777,0.00465116279069777
"591",4.35,4.49,4.35,4.39,6729600,4.39,2018-12-28,"VVAR3.SA",0.0162037037037035,0.0162037037037035
"592",4.4,4.48,4.35,4.38,9231200,4.38,2019-01-02,"VVAR3.SA",-0.00227790432801822,-0.00227790432801822
"593",4.39,4.4,4.16,4.31,8414100,4.31,2019-01-03,"VVAR3.SA",-0.0159817351598174,-0.0159817351598174
"594",4.31,4.37,4.21,4.27,5946200,4.27,2019-01-04,"VVAR3.SA",-0.00928074245939681,-0.00928074245939681
"595",4.3,4.37,4.19,4.24,5408700,4.24,2019-01-07,"VVAR3.SA",-0.00702576112412168,-0.00702576112412168
"596",4.27,4.27,4,4.04,11952000,4.04,2019-01-08,"VVAR3.SA",-0.0471698113207547,-0.0471698113207547
"597",4.08,4.09,3.86,4.01,18056100,4.01,2019-01-09,"VVAR3.SA",-0.00742574257425743,-0.00742574257425743
"598",4,4.42,3.95,4.42,30145000,4.42,2019-01-10,"VVAR3.SA",0.102244389027431,0.102244389027431
"599",4.5,4.55,4.33,4.51,23524800,4.51,2019-01-11,"VVAR3.SA",0.0203619909502262,0.0203619909502262
"600",4.51,4.88,4.45,4.82,18696600,4.82,2019-01-14,"VVAR3.SA",0.0687361419068737,0.0687361419068737
"601",4.87,5.18,4.86,4.98,32473600,4.98,2019-01-15,"VVAR3.SA",0.0331950207468881,0.0331950207468881
"602",5.05,5.19,5.03,5.05,17628600,5.05,2019-01-16,"VVAR3.SA",0.0140562248995983,0.0140562248995983
"603",5.09,5.1,4.88,4.93,19639200,4.93,2019-01-17,"VVAR3.SA",-0.0237623762376238,-0.0237623762376238
"604",4.97,5.05,4.79,4.88,16105200,4.88,2019-01-18,"VVAR3.SA",-0.0101419878296146,-0.0101419878296146
"605",4.88,4.96,4.74,4.8,10162500,4.8,2019-01-21,"VVAR3.SA",-0.0163934426229508,-0.0163934426229508
"606",4.76,5.04,4.7,4.93,21080700,4.93,2019-01-22,"VVAR3.SA",0.0270833333333333,0.0270833333333333
"607",5,5.17,4.98,5.16,24211400,5.16,2019-01-23,"VVAR3.SA",0.0466531440162272,0.0466531440162272
"608",5.2,5.52,5.17,5.49,30924100,5.49,2019-01-24,"VVAR3.SA",0.0639534883720931,0.0639534883720931
"609",5.39,5.72,5.3,5.35,31357500,5.35,2019-01-28,"VVAR3.SA",-0.0255009107468125,-0.0255009107468125
"610",5.46,5.67,5.42,5.67,23998500,5.67,2019-01-29,"VVAR3.SA",0.0598130841121496,0.0598130841121496
"611",5.78,5.87,5.65,5.77,29520300,5.77,2019-01-30,"VVAR3.SA",0.0176366843033509,0.0176366843033509
"612",5.8,6.03,5.7,6,29405100,6,2019-01-31,"VVAR3.SA",0.0398613518197575,0.0398613518197575
"613",6,6.16,5.93,5.96,21981300,5.96,2019-02-01,"VVAR3.SA",-0.00666666666666671,-0.00666666666666671
"614",5.98,6.06,5.83,5.99,15262300,5.99,2019-02-04,"VVAR3.SA",0.00503355704697994,0.00503355704697994
"615",5.99,6.04,5.64,5.79,22381800,5.79,2019-02-05,"VVAR3.SA",-0.0333889816360601,-0.0333889816360601
"616",5.54,5.55,5.24,5.29,27794100,5.29,2019-02-06,"VVAR3.SA",-0.0863557858376511,-0.0863557858376511
"617",5.33,5.63,5.25,5.45,21478700,5.45,2019-02-07,"VVAR3.SA",0.0302457466918715,0.0302457466918715
"618",5.49,5.68,5.41,5.56,19199300,5.56,2019-02-08,"VVAR3.SA",0.0201834862385319,0.0201834862385319
"619",5.62,5.65,5.42,5.52,12077300,5.52,2019-02-11,"VVAR3.SA",-0.0071942446043165,-0.0071942446043165
"620",5.61,5.64,5.53,5.56,10538200,5.56,2019-02-12,"VVAR3.SA",0.00724637681159424,0.00724637681159424
"621",5.61,5.62,5.37,5.45,14900700,5.45,2019-02-13,"VVAR3.SA",-0.0197841726618704,-0.0197841726618704
"622",5.5,5.52,5.16,5.45,22577100,5.45,2019-02-14,"VVAR3.SA",0,0
"623",5.43,5.48,5.25,5.28,9585600,5.28,2019-02-15,"VVAR3.SA",-0.0311926605504587,-0.0311926605504587
"624",5.27,5.47,5.17,5.47,9582700,5.47,2019-02-18,"VVAR3.SA",0.0359848484848484,0.0359848484848484
"625",5.49,5.51,5.26,5.28,15060700,5.28,2019-02-19,"VVAR3.SA",-0.0347349177330895,-0.0347349177330895
"626",5.1,5.36,5,5.21,40091400,5.21,2019-02-20,"VVAR3.SA",-0.0132575757575758,-0.0132575757575758
"627",5.05,5.06,4.67,4.67,46219800,4.67,2019-02-21,"VVAR3.SA",-0.103646833013436,-0.103646833013436
"628",4.67,4.84,4.36,4.72,28518300,4.72,2019-02-22,"VVAR3.SA",0.0107066381156316,0.0107066381156316
"629",4.74,5.04,4.65,4.97,63826400,4.97,2019-02-25,"VVAR3.SA",0.0529661016949152,0.0529661016949152
"630",4.95,5.01,4.75,4.77,21226300,4.77,2019-02-26,"VVAR3.SA",-0.040241448692153,-0.040241448692153
"631",4.8,4.83,4.64,4.64,26249100,4.64,2019-02-27,"VVAR3.SA",-0.0272536687631028,-0.0272536687631028
"632",4.68,4.77,4.56,4.58,23587100,4.58,2019-02-28,"VVAR3.SA",-0.0129310344827586,-0.0129310344827586
